O14818	P25787
A8MQ03	P29597
O76003	P82987
Q96PV4	Q9UBR4-2
Q96BZ8	P41219
Q13077	P23769
Q16625-1	P24723
Q9BYR0	Q8NEC5
P11802	P30281
Q9BWG6	Q8IX06
P16333	Q92918
Q8TB36	Q96PD2-2
Q9NVC6	Q15528
Q96HA8	Q8WVF5
Q8IVS8	Q08623
Q49AR9	Q15323
Q15562-2	G2XKQ0
P60520	Q8N6T3
P24278	Q9BRK4
Q9Y6C2-2	Q6ISS4
Q9BT92	Q9BRK4
Q8TAP6	Q03923-3
P0CI01	Q9UPY8
Q15654	Q96HA1-2
Q6A162	Q13573
P00738	Q7Z6E9
Q86Y82	P32856-2
Q8WUN7	Q03989
Q9UMX1	Q6FHY5
O14964	Q15528-2
P35222	P49841
Q0VD86	Q6UX98
P01106	P52701
P25054	Q9NR80-3
Q13077	B2R8Y4
Q9BQY4	Q03989
A1KXE4-2	P14678-2
Q08117	P47897-2
Q5TA82	Q6UY14-3
A2RRN7	Q63ZY3
Q9BYP8	P04554
Q13404	Q9UMX0
O00487	Q15008
Q9UBB9	A0A0S2Z6H0
Q96BR9	Q5T619
P62333	Q6BCY4
P00540	Q15172
P31943	Q8TAP4-4
Q8HWS3	P14678-2
Q01959	Q9NRD5
Q96K76	Q9UKB1
Q9NWW5	Q96BA8
P09914	Q86WV6
Q9UJV3-2	Q9BSW7
Q92734	Q96PV6
Q9H6L2	Q6A162
Q6ZW49	Q9BTK6
P53355	Q14457
Q5T686	P60371
Q13596	Q8IVP5
P49368	Q9H832
Q9H444	Q8WUX9
Q5T124-6	Q14005-2
P10809	Q8NHQ1
Q00526	P38936
Q96MA6	P57077-4
Q01546	Q6PJQ5
Q9Y2V7	P20618
Q09161	P52298
O60504	Q9BWG6
O75603	Q70EL1-9
Q8TBB1	P49760
Q9Y2T1	Q9UKJ5
O76011	P48645
P08107	Q99933
P04637	P38398
Q8TCU6	Q6R327
O76083-2	Q99633
Q5S007	Q04917
Q9BQ89	Q13064
Q8TCJ2	Q96GX1
P50221	Q9HAT8
Q9NXC5	Q96S15
Q9UBC2-3	O14777
Q15436	O75477
Q0VD86	Q9H6L4
P23396	P19838
Q9NZD8	Q96JB2-2
Q14749	Q9UN88
O15062	Q9NRN9
P59022	Q92922
A0A0C4DGQ3	Q6FHY5
Q01860	O95983
Q49AR9	Q8WW18
Q9UBQ0	Q96QK1
Q8N6N6	Q9GZT8
P62945	P04156
B2R550	Q93062
P40692	Q7Z6R9
Q96ED9-2	Q07002
P49368	Q8TD10
Q02577	Q99081-3
Q9Y277	P27105
Q15025	Q96PV6
P60174	P54274
Q96K80	O75928-2
Q7L804	Q4G0R1
Q6PF15	A6NEM1
Q8TBK6	Q14498
P07101	P63104
P51452	P50221
Q06124	Q9BZW8
P49765	Q86UY0
P51787	P15382
Q969S6	Q96BA8
P62820	Q01968
Q9BZI7	P61326
Q8TAU3	Q96DT7-3
Q96GN5	Q9ULW3
Q99895	Q9BYR8
Q8IV36	O15357
P61201	Q09472
P0CW19	Q96G42
Q6FHY5	Q6ZN54-2
Q9Y6I9	Q96HJ5
P56545	Q9NQ66
Q2TBE0	Q9NRD5
Q13322-4	O95363
Q14241	Q96AA8
Q9BQ24	Q9UI14
Q92993	P03372-1
Q99757	Q8IZU0
Q9Y2I6	Q8NA19
Q38SD2	Q5S007
Q8ND90	Q96IZ5
Q14525	O14964
Q9P209	H3BPU4
Q9BZE0	Q9UGI0
A6NC98	Q96IX9
P60410	Q3B820
O76011	Q15040
P01037	Q9Y5U9
Q8N9N5	Q13557
Q9NUL5-4	Q2TAL6
Q9NX04	P50221
Q15185	O14654
Q96NE9	Q13422
Q86XF7	P54257
Q96NT3-2	P49639
Q6PD74	P53680
Q99459	O43660
Q03111	O00472
O15397	Q9UKV8
Q8NHQ1	Q9UFB7
Q6UXB4	P08865
Q96BA8	Q9NUM3
P05089	P03372
Q63HK5	Q8N6L0
Q8NC69	Q08426
Q6RW13	Q8IVA8
P61006	Q16718
P52597	Q9Y6H3
Q6PIA0	P55211
Q96BR9	Q8TBK6
A0A0S2Z4M1	Q9H257-3
Q99750	Q9Y5Y2
Q8N9N5-2	Q99750
Q02446	A0A024R5S0
Q3LI66	Q8N831
Q96GM5	Q9BRK4
Q5TAP6	Q8IYF3-3
P35609	P25786
Q15560	Q9BYE0
Q9H2C0	P46821
P59990	Q9BYR2
Q8IWF7	Q6NZ36-4
Q96FN4	Q9NYB0
P14678	P09234
Q9P202	O60711
Q9P127	Q63HR2
P67775	Q13136
Q6PJG3	Q96BY2
Q96IQ9	Q3LI64
Q9P2Z0	Q9BRK4
Q96D03	P16083
Q13951	Q93034
Q16637	Q9UHI6
Q9UJ41-4	P54725
Q8TBZ9	Q6FHY5
P55060	P04637
P30154	Q15172
Q13118	P08047
P60410	Q9H7X3
Q969Z0	Q96D09
Q8NHQ8	Q13625
P26641-2	P24534
Q96HA1-2	P0C870
Q7Z3S9	Q86UN2
O75935-2	Q8N6Y0
Q96MP8-2	Q9C086
A6NC98	Q8TD31-3
O14874	P02549
P09629	P12956
P27482	Q8NCR3
Q6R327	Q9BVC4
Q9UQM7	P35711-4
P78380	P17987
Q9BYQ4	Q9Y5Y7
Q8WW12	Q9NYB0
P80188	Q969S2
Q9BZL3	Q9BXN2-6
Q8NC69	Q9H7E9
Q96NG3	P15173
Q9UM73	P23467
Q9BYR7	P49639
Q96LM6	P60329
P02008	P68871
O15162	Q13563
Q5TA79	Q96NT3-2
P15884-3	Q9NQ33
P29218-3	O14732
Q9UPY8	Q8N3J3-3
P14921	P23497
Q9Y3C0	Q8N1B4
Q3LI72	Q92567-2
O43829	Q68E01
Q86UF1	Q9BVX2
Q9H190	Q02040
Q9Y242	O43741
A0A024R8A9	Q969F0
O95163	Q15306
Q8TBB1	Q6UXH8-3
Q15323	P68106
Q6DKK2	P07741
Q9Y5A6	Q6NZI2
Q96RJ6	P15884
P04233-2	Q9H2L4
Q96HA8	Q96HT8
Q9NS23	Q00987
O00487	P51665
Q9H0R8	P60409
P41212	A0A0S2Z4M1
P06401	Q9H467
Q96PF1	P22105-3
Q02363	P15923-1
Q58EX7	Q3B820
Q08379	P13682
Q02086-2	Q13952-2
Q13323	A0A0S2Z3D2
Q9H773	Q9NZD8
Q9Y3B2	Q9NPD3
Q16623	Q9UKR5
O95396	Q9BTM9
A1A5B0	Q96CN4
P62993	Q06418
Q8IWR1	Q96IW7
Q6A162	A2VCK2
Q9BSE2	Q8WWP7
Q9P291	Q9NRD5
Q15788	Q9BTK6
A6NJ78-4	P33240
Q8N9W6-4	Q9BQY4
Q9BYR5	Q5BKY6
Q96NZ8	Q92624
P53672	Q8TDS5
Q96DC9	Q15038
Q99081-3	Q9NQ33
P20674	O95238
P01100	P05067
P01100	P17535
Q8TAP4	Q6FG41
Q8IYX7	Q9NZC7-5
Q14141	A0A0S2Z5W9
P0CG48	Q8N3F0
P60411	D9YZU9
Q5H9L4	P41227
P58340	P43364
Q8N5A5	P14373
P0DN76	Q10567-3
Q12933	Q8N8B7-2
Q9NYG5-2	Q02930-3
Q9BVX2	P56851
Q63ZY3	P63167
Q9NRI5-2	Q8NHY3
P42858	Q9Y3C7
Q9NY91	Q96Q45-2
O43399	Q8NI60
P50750	Q8WXE1
Q02086	P33993
Q92734	Q4VC12
Q96B26	Q8ND83
P56282	Q04864
Q8TF42	Q9NRI5-2
Q00987	P05412
Q96BR6	Q9UJV3-2
Q9NP86	Q49A26-4
Q9BYQ4	Q8WZ59
O76011	Q9Y5Y7
Q5T5A8	Q9UGC6
O76083	Q49AN0
O15353	P32320
Q86V94	Q8N8U2
Q96BE0	P54652
P55072	O60941-5
Q8NBR0	Q9C029
P01344	Q93062
Q9BYV2	O95363
P62136	P46937
O43920	O43678
